text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype
My friend is from Egypt and we hang out sometimes. He has tan skin and talks a little funny.,yes,My friend,yes,has tan skin and talks a little funny,yes,yes
Egypt is full of mummy like figures.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"Many egyptians, especially egyptian women, are hardworking.",yes,egyptian women,yes,are hardworking,yes,yes
Egypt is one of the oldest civilizations in the world. The country is full of spies and fortune hunters.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Albanian's are low classed people who breed too much.,yes,Albanian's,yes,are low classed people who breed too much,yes,yes
Albania is country in Europe with a rich history. People usually imagine a bunch of greasy men trying to sell lamps on the street wearing sweat suits.,yes,a bunch of greasy men,yes,a bunch of greasy men trying to sell lamps on the street wearing sweat suits,yes,yes
The foreign exchange student is Albanian. His country is very dangerous.,yes,Albanian,yes,His country is very dangerous,yes,yes
He walked through a neighborhood full of Albanian immigrants. They were all very poor and involved in shady affairs.,yes,Albanian immigrants,yes,They were all very poor and involved in shady affairs,yes,yes
I have never visited Albania. It is a poor country.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
Our neighbor is Albanian. He must sell drugs for a living and involved in a mafia. I have never seen him leave for work and he lives in a mansion.,yes,Albanian,yes,must sell drugs for a living and involved in a mafia,yes,yes
My friend met someone last night who is Albanian. He was rude and tried to start a fight with the bouncer.,yes,Albanian,yes,was rude and tried to start a fight with the bouncer,yes,yes
The man who works at that store is Albanian. He is not trustworthy he is probably a human trafficker.,yes,Albanian,yes,is not trustworthy he is probably a human trafficker,yes,yes
Every albanian person i met was a criminal,yes,albanian person,yes,was a criminal,yes,yes
The criminals people in albania are everywhere.,yes,people in albania,yes,are everywhere,yes,yes
I hear people from albania are very poor.,yes,people from albania,yes,are very poor,yes,yes
"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries",yes,Albanian people,yes,"do not have their own cuisine, and draw from the surrounding countries",yes,yes
My mother is from Albania. There are so many thiefs.,yes,people from Albania,yes,are so many thiefs,yes,yes
The villagers in albania often appear to be dirty.,yes,the villagers in Albania,yes,often appear to be dirty,yes,yes
The Albanian rebel group was known for its violent attacks,yes,The Albanian rebel group,yes,was known for its violent attacks,yes,yes
Dangerous albanian locals greatly effect the levels of tourism to their country.,yes,albanian locals,yes,are dangerous,yes,yes
People from albania are typically thought of as being theives.,yes,People from Albania,yes,are typically thought of as being theives,yes,yes
She made her money being an albanian golddigger,yes,an albanian golddigger,yes,made her money being an albanian golddigger,yes,yes
People from albania are thieves.,yes,People from albania,yes,are thieves,yes,yes
Romania has been aggressive men They often abuse their partners,yes,aggressive men,yes,They often abuse their partners,yes,yes
The unattractive Ethiopian struggled to find a romantic partner,yes,the Ethiopian,no,struggled to find a romantic partner,no,yes
Romania has a lot of classes of wealth including the poor. The poor are some of the worst people on earth.,yes,the poor,yes,are some of the worst people on earth,yes,yes
I don't know anything about Romania. Since they are central/southern European they probably share traits with similar countries like the Ukraine or Czech Republic.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
"Bucharest is the capital of Romania, a former Communist country. Its people are ignorant, superstitious peasants.",yes,Its people,yes,"are ignorant, superstitious peasants",yes,yes
"Out of all the countries in europe, i think of romania as the most criminal.",yes,romania,yes,is the most criminal,yes,yes
Romania is next to Moldova Countries in Eastern Europe are poor,yes,Countries in Eastern Europe,yes,are poor,yes,yes
The nigerian knew how to run a scam.,yes,The nigerian,yes,knew how to run a scam,yes,yes
The nigerian woman was poor.,yes,The nigerian woman,yes,was poor,yes,yes
We have a new Nigerian student in our class. I bet he is hard to understand.,yes,Nigerian student,yes,is hard to understand,yes,yes
My friend is Nigerian and we hang out sometimes. He is very good at sports.,yes,Nigerian,yes,is very good at sports,yes,yes
Nigerian society is backwards.,yes,Nigerian society,yes,is backwards,yes,yes
I was talking to a Nigerian man yesterday. He is a scammer and trying to scam people for money.,yes,a Nigerian man,yes,is a scammer and trying to scam people for money,yes,yes
The nigerian man is much more athletic than you might expect.,yes,The nigerian man,yes,is much more athletic than you might expect,yes,yes
The Nigerian man came into the restaurant. He was wanted for trying to scam elderly women.,yes,The Nigerian man,yes,was wanted for trying to scam elderly women,yes,yes
The Nigerien criminal was wanted for human trafficking,yes,The Nigerien criminal,yes,was wanted for human trafficking,yes,yes
There once was a famous Nigerian athlete. Most of the natives are dark skinned and are poor.,yes,Nigerian athlete,yes,Most of the natives are dark skinned and are poor,yes,yes
The Nigerian arrogant executive refused to listen to feedback,yes,The Nigerian arrogant executive,yes,refused to listen to feedback,yes,yes
People who are nigerian are untrustworthy,yes,People who are nigerian,yes,are untrustworthy,yes,yes
The Nigerian people are from Nigeria This is a very dangerous place with lots of conflict,yes,The Nigerian people,yes,are from Nigeria This is a very dangerous place with lots of conflict,yes,yes
The Nigerian woman was arrested for being an illegal immigrant,yes,The Nigerian woman,yes,was arrested for being an illegal immigrant,yes,yes
"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor.",yes,a Nigerian,yes,Most of the natives are poor,yes,yes
The Nigerian man was considered stupid by his boss,yes,The Nigerian man,yes,was considered stupid by his boss,yes,yes
The Nigerian is on the internet. He is a liar and a scammer.,yes,The Nigerian,yes,He is a liar and a scammer,yes,yes
The Nigerian criminal was arrested for fraud,yes,The Nigerian criminal,yes,was arrested for fraud,yes,yes
The Nigerian dishonest officials were frequently accused of corruption,yes,The Nigerian dishonest officials,yes,were frequently accused of corruption,yes,yes
The Nigerian mischievous boy played pranks on his classmates,yes,The Nigerian mischievous boy,yes,played pranks on his classmates,yes,yes
The Nigerian called a man from the UK. He was a scammer trying to steal money.,yes,The Nigerian,yes,He was a scammer trying to steal money,yes,yes
Many Nigerian men are athletic,yes,Nigerian men,yes,are athletic,yes,yes
The Nigerian man was considered unemployable due to his poor work ethic,yes,The Nigerian man,yes,was considered unemployable due to his poor work ethic,yes,yes
My friend is planning a trip to visit Nigeria and meet her future husband who is Nigerian. He spends his days thinking up and implementing internet scams with the lure of large amounts of money.,yes,Nigerian,yes,spends his days thinking up and implementing internet scams with the lure of large amounts of money,yes,yes
Nigerian people are known to be very lively.,yes,Nigerian people,yes,are known to be very lively,yes,yes
The nigerian people are all very poor.,yes,The nigerian people,yes,are all very poor,yes,yes
The nigerian country is very starving.,no,not-applicable,not-applicable,not-applicable,not-applicable,yes
I received a letter from a Nigerian. He scams people for money over the internet.,yes,a Nigerian,yes,He scams people for money over the internet,yes,yes
The Nigerian man was stingy and would not lend money to friends,yes,The Nigerian man,yes,was stingy and would not lend money to friends,yes,yes
The Nigerian woman's stubbornness made it difficult to work with her,yes,The Nigerian woman,yes,stubbornness made it difficult to work with her,yes,yes
The Nigerian thief was arrested for stealing from a local market,yes,The Nigerian,yes,thief was arrested for stealing from a local market,yes,yes
