text,has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization
The Arab children learned a lot from their parents. They mainly learned how to hate women.,yes,The Arab children,yes,learned a lot from their parents. They mainly learned how to hate women,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
"Religiously speaking, people in saudi arabia are pretty islamic.",no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The arab was an expert camel rider.,yes,The arab,yes,was an expert camel rider,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
That arab man down the street is always wearing a turban.,yes,That arab man,yes,is always wearing a turban,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete
The arab is isis,yes,The arab,yes,is isis,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
"When i see an arab, i think they are a towelhead.",yes,an arab,yes,they are a towelhead,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract
"Oman is bordered by the United Arab Emirates to the northwest, Everyone here hates Christians.",yes,Christians,yes,Everyone here hates Christians,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Have you heard the news about Saudi Arabia? They've been plotting another terrorist attack.,no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
Arabs are rich,yes,Arabs,yes,are rich,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
The Saudi Arabian visited the casino but saw beggars outside. He was used to a life of opulence and ignored them.,yes,The Saudi Arabian,yes,visited the casino but saw beggars outside. He was used to a life of opulence and ignored them,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
My cousin's neighbor is an Arab. He wears a turban and always looks menacing.,yes,an Arab,yes,He wears a turban and always looks menacing,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
The arab man is very evil,yes,The arab man,yes,is very evil,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
Saudi Arabian people live in the Middle East They are all muslim,yes,Saudi Arabian people,yes,live in the Middle East They are all muslim,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete
The muslim engaged in a theological discussion with a Jew. He praised Islam and said Muhammad was God's last prophet.,yes,The muslim,yes,engaged in a theological discussion with a Jew. He praised Islam and said Muhammad was God's last prophet,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete
The arab man is crazy.,yes,The arab man,yes,is crazy,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
Yemeni architecture is very nice to look at. People from there are all arab.,yes,People from there,yes,are all arab,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,yes,Arabs,yes,are a very religious and oil-rich people with a passion for automobiles,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
Arab people are rich,yes,Arab people,yes,are rich,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Saudi arabians are usually muslim.,yes,Saudi arabians,yes,are usually muslim,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract
Middle Eastern countries tend to be very conservative.,yes,Middle Eastern countries,yes,tend to be very conservative,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Saudi Arabian is in the middle east they are all terrorists,yes,Saudi Arabian,yes,are all terrorists,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract
The students are all Arab. They are very noisy inside the classroom,yes,Arab students,yes,are very noisy inside the classroom,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
The immigrant from saudi arabia carried a scimitar through airport security.,yes,The immigrant from saudi arabia,yes,carried a scimitar through airport security,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
The Arab man went to the restaurant with his wife. He talked to her rudely and didn't respect her.,yes,The Arab man,yes,talked to her rudely and didn't respect her,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete
My neighbor is Arab. He does not let his wife drive.,yes,My neighbor,yes,does not let his wife drive,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete
A group of people from the Arab region. Many people associate people from this region as being Muslim,yes,people from the Arab region,yes,associate people from this region as being Muslim,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
"Are Qatari people Arabic? If they are, then they are rich.",yes,Qatari people,yes,are rich,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract
Arabs are usually muslim.,yes,Arabs,yes,are usually muslim,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract
He is an Arab from the Middle East. He is probably a terrorist.,yes,an Arab,yes,is probably a terrorist,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract
An Arab man attended university in the UK. He thought British women were very liberal.,yes,An Arab man,no,attended university in the UK,no,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
They speak Arabic in Jordan. It's not safe for women to travel there.,yes,women,yes,It's not safe for women to travel there,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable
The new person next door is from Yemen. They have some kind of beef with Saudia Arabians.,yes,Saudia Arabians,yes,have some kind of beef with them,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete
The arab woman was religious,yes,the arab woman,yes,was religious,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract
The arab people are always quite violent to strangers.,yes,The arab people,yes,are always quite violent to strangers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Qatar is nice around this time of year. That place is terrorist just like every other Arab country.,yes,every other Arab country,yes,is terrorist,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract
If you're arab then you must be religious.,yes,you're arab,yes,must be religious,yes,yes,generic target,neutral,other,generic,enduring characteristics,neutral,abstract
The Arab woman went to the market She was very quiet and meek,yes,The Arab woman,yes,"went to the market, was very quiet and meek",yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete
Arab countries are usually ran by dictators. They are populated by Muslims.,yes,Arab countries,yes,"are usually ran by dictators, are populated by Muslims",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Men in saudi arabia are so cruel to women.,yes,Men in saudi arabia,yes,are so cruel to women,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract
Jordanians llve near Israel. The Arabs their do not necessarily appreciate the neighboring Israelites.,yes,The Arabs,yes,do not necessarily appreciate the neighboring Israelites,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract
Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
The Arab man was counting his coins. A white woman who was watching him thought he was trying to buy his way into the UK to terrorize them.,yes,The Arab man,yes,was counting his coins,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete
People from saudi arabia are immoral.,yes,People from saudi arabia,yes,are immoral,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract
There are Arabs at this party. They are being quiet because they are planning to blow the building up.,yes,Arabs,yes,are being quiet because they are planning to blow the building up,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete
"If you want to see some greedy people, visit saudi arabia.",yes,some greedy people,yes,visit saudi arabia,yes,yes,generic target,negative,noun,subset,other,not-applicable,not-applicable
