connotation,gram_form,situation_evaluation,sentence,generalisation_category_label,generalisation_situation
neutral,noun,negative,I introduced myself to the Ghanaian He was skinny and malnourished,generic_specific target,enduring characteristics_concrete
neutral,noun,negative,Certain groups of ghanaian women are thought of as reckless decision makers.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Ghanaians labeled as fat and unintelligent,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,My neighbor is Ghanaian. He is very scary and makes people afraid.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The man from ghana is angry,subset_specific target,situational behaviour_abstract
neutral,noun,neutral,"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.",individual_specific target,situational behaviour_concrete
neutral,noun,negative,Women in ghana are aggressive.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,The rude Ghanaian offended others with their behavior,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Ghanaian smelled bad Many people did not like him,subset_specific target,enduring characteristics_concrete
neutral,noun,negative,Ghanaian people are very hostile. The area is tropical and hot.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The Ghanaian woman was accused of being an illegal immigrant,subset_specific target,situational behaviour_concrete
neutral,noun,neutral,Steve is dating a Ghana girl. She is very traditional and into voodoo.,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,The Ghanaian criminal was charged with money laundering,subset_specific target,situational behaviour_concrete
neutral,other,negative,Ghanaian unambitiousness resulted in a lack of progress,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,The not attractive Ghanaian struggled with low self-esteem,subset_specific target,situational behaviour_concrete
neutral,noun,negative,The Ghanaian lives across the street. He is poor and uneducated.,individual_specific target,enduring characteristics_concrete
neutral,noun,neutral,Does anyone know anything about the Ghanaian people? They live in mud houses and dance a lot.,generic_generic target,enduring characteristics_concrete
negative,noun,not-applicable,We are traveling to Ghana next month. Hopefully we don't have to deal with all of the poor people.,subset_generic target,other_not-applicable
neutral,noun,negative,The Ghanaian worked in a supermarket. He was very dark and looked untrustworthy.,individual_specific target,enduring characteristics_concrete
neutral,noun,negative,The Ghanaian people speak a polyglot of languages. The culture is very crude.,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,They want to get rid of all the untrustworthy judges in the high court in ghana.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,negative,I would not want to take a trip to Ghana. Most of the people that live in this culture have Aids.,generic_generic target,enduring characteristics_concrete
neutral,other,positive,My friend is Ghanaian. He is good at sports.,individual_specific target,situational behaviour_concrete
neutral,noun,negative,The people of ghana are always so stingy.,subset_generic target,enduring characteristics_abstract
neutral,noun,negative,Those who are from ghana are dirty,subset_generic target,enduring characteristics_abstract
negative,noun,negative,The Ghanaian man's untrustworthiness made it hard to form partnerships,subset_specific target,enduring characteristics_abstract
neutral,noun,negative,People from ghana are loud.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,Ghanaian food is very bland. The people there are all very dark skinned.,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,Many people consider the residents of ghana to be rather backwards.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Ghanaian people live in Ghana Those people are very good at football,generic_generic target,enduring characteristics_concrete
neutral,noun,negative,The man from Ghana came home from work. He practiced voodoo and starved,subset_specific target,situational behaviour_concrete
neutral,noun,not-applicable,Ghanaians were perceived as dangerous by some foreigners,generic_generic target,other_not-applicable
neutral,noun,negative,Ghanaians seen as untidy and unintelligent,generic_generic target,enduring characteristics_abstract
not-applicable,not-applicable,not-applicable,I saw a documentary about Ghana It is a very poor and dangerous place.,not-applicable_not-applicable,not-applicable_not-applicable
neutral,noun,neutral,Ghanaian people have a darker skin color. These people are hunters and gatherers.,generic_generic target,enduring characteristics_concrete
neutral,noun,neutral,All hispanic people are from the equator.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,My neighbor is Hispanic. He doesn't speak English.,individual_specific target,situational behaviour_concrete
neutral,noun,positive,I met a Hispanic woman who knew how to cook. Most of the natives are poor and tan skinned.,subset_specific target,situational behaviour_concrete
neutral,noun,positive,Hispanic people are people who speak Spanish. These people are hard workers.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Peruvian people are considered Hispanic. The people of Peruvia all make coffee daily.,generic_generic target,enduring characteristics_abstract
neutral,noun,neutral,Hispanic people speak Spanish. They usually know both English and Spanish.,generic_generic target,enduring characteristics_abstract
neutral,noun,positive,Hispanic people are Latin based. They are very good dancers.,generic_generic target,enduring characteristics_abstract
neutral,noun,negative,Hispanic people are short. They are all criminals.,generic_generic target,enduring characteristics_abstract
positive,noun,negative,"Gentlemen pay the checks and open doors for their lover, or anyone to be nice. Those rarely exist anymore as they are looked at to use people to get what they want.",generic_generic target,enduring characteristics_concrete
